#timestamp x y z qx qy qz qw
1742016755.849736 -0.000337 -0.013597 -0.009785 0.197002 0.183916 -0.678370 0.683505
1742016757.943637 -0.126895 0.010289 0.009306 0.195379 0.120353 -0.756039 0.612982
1742016759.007386 -0.487889 0.257576 0.020099 -0.184585 -0.081922 0.886688 -0.415934
1742016760.036739 -0.864357 0.488839 -0.001093 -0.184041 -0.024278 0.965562 -0.182290
1742016761.036909 -1.195949 0.811822 -0.033187 -0.189873 -0.035273 0.975810 -0.102463
1742016762.037653 -1.595299 1.009894 -0.079473 -0.188037 -0.006283 0.982046 0.013741
1742016763.072353 -2.057912 1.272409 -0.178227 -0.194758 -0.023556 0.980349 -0.020762
1742016764.106852 -2.624250 1.381577 -0.250267 -0.189935 -0.064519 0.964357 -0.172561
1742016765.107260 -3.299059 1.243012 -0.306323 -0.172904 -0.067389 0.943942 -0.273014
1742016766.141239 -3.953603 0.901751 -0.331134 -0.162136 -0.095336 0.910849 -0.367391
1742016767.141610 -4.564048 0.484495 -0.340964 -0.164849 -0.099685 0.883064 -0.427886
1742016768.142016 -5.135258 -0.089507 -0.351737 -0.182377 -0.094191 0.868962 -0.450302
1742016769.142399 -5.631584 -0.704828 -0.293141 0.149763 0.081192 -0.842606 0.510875
1742016770.176141 -6.168250 -1.319377 -0.239971 0.143378 0.084649 -0.842624 0.512115
1742016771.209866 -6.778162 -1.969338 -0.178069 -0.131263 -0.074116 0.855562 -0.495269
1742016772.276969 -7.399902 -2.671230 -0.066299 -0.156575 -0.052546 0.893133 -0.418375
1742016773.344109 -8.015187 -3.137007 0.078397 -0.143640 -0.040817 0.920553 -0.360949
1742016774.377876 -8.726443 -3.511340 0.220771 -0.130322 -0.021817 0.952097 -0.275774
1742016775.411641 -9.476192 -3.932284 0.316147 -0.095312 -0.027760 0.962454 -0.252641
1742016776.445416 -10.236736 -4.324049 0.349265 -0.065583 -0.042366 0.944480 -0.319159
1742016777.479280 -11.115504 -4.666422 0.453897 -0.067359 -0.044027 0.943600 -0.321160
1742016778.513090 -12.066494 -4.997260 0.535451 -0.039907 -0.029595 0.954927 -0.292655
1742016779.546905 -12.852550 -5.371308 0.757259 -0.045283 -0.046031 0.958074 -0.279150
1742016780.580685 -13.676374 -5.745527 0.808800 -0.065422 -0.026075 0.976391 -0.204207
1742016781.614465 -14.459191 -5.992660 0.933214 -0.058842 -0.031208 0.974812 -0.212853
1742016782.614901 -15.058933 -6.203549 1.156829 -0.077937 -0.028514 0.956606 -0.279317
1742016783.648683 -15.817568 -6.513221 1.222650 -0.079801 -0.048517 0.923441 -0.372202
1742016784.649118 -16.415367 -6.886735 1.313003 -0.090952 -0.050702 0.932772 -0.345100
1742016785.649545 -16.781433 -7.148851 1.590869 -0.100226 -0.059946 0.914037 -0.388455
1742016786.683331 -17.427792 -7.652152 1.663133 -0.076595 -0.059788 0.902758 -0.419030
1742016787.683771 -17.872810 -8.120444 1.807993 -0.079409 -0.041751 0.903860 -0.418315
1742016788.684211 -18.245424 -8.485630 2.100285 -0.089010 -0.049865 0.884746 -0.454770
1742016789.684684 -18.640669 -9.023476 2.242119 -0.048864 -0.056975 0.878847 -0.471162
1742016790.719815 -19.050056 -9.505982 2.353639 -0.053120 -0.058575 0.874517 -0.478506
1742016791.754863 -19.412836 -9.925010 2.534678 -0.058693 -0.054548 0.916946 -0.390883
1742016792.755046 -19.737597 -10.281965 2.824651 -0.089216 -0.042658 0.917824 -0.384474
1742016793.788565 -20.192038 -10.624373 2.980534 -0.063470 -0.045134 0.909039 -0.409368
1742016794.822100 -20.576527 -10.916785 3.321135 -0.082144 -0.039733 0.920981 -0.378772
1742016795.855629 -21.127649 -11.178895 3.471189 -0.073308 -0.037055 0.926639 -0.366870
1742016796.889148 -21.567240 -11.516436 3.730695 -0.098256 -0.044254 0.915493 -0.387634
1742016797.889325 -21.796522 -11.697660 3.793575 -0.101663 -0.063519 0.925990 -0.358013
1742016798.889511 -22.216476 -12.045246 3.919286 -0.102982 -0.049521 0.928613 -0.353017
1742016799.923012 -22.607201 -12.238864 4.292033 -0.097549 -0.045107 0.949617 -0.294409
1742016800.956528 -22.980127 -12.417456 4.420720 -0.099622 -0.035723 0.917577 -0.383213
1742016801.990026 -23.417980 -12.730403 4.718836 -0.113904 -0.050581 0.913193 -0.388003
1742016802.990187 -23.821810 -12.996945 5.064387 -0.120241 -0.073122 0.898704 -0.415362
1742016804.023683 -24.280359 -13.484844 5.325561 -0.096831 -0.075402 0.913619 -0.387605
1742016805.023819 -24.874914 -13.901030 5.635239 -0.122441 -0.075393 0.911758 -0.384735
1742016806.057340 -25.292639 -14.262107 5.717502 -0.122541 -0.077528 0.923901 -0.354091
1742016807.092221 -25.710661 -14.470767 6.026680 -0.138195 -0.055196 0.904889 -0.398787
1742016808.126231 -26.327404 -14.935514 6.263927 -0.064945 -0.065432 0.910163 -0.403862
1742016809.126643 -26.983669 -15.344987 6.545872 -0.080399 -0.053311 0.904528 -0.415360
1742016810.160457 -27.426880 -15.689507 6.632907 -0.095620 -0.060444 0.908853 -0.401485
1742016811.194246 -27.834627 -15.949220 6.938580 -0.060844 -0.072038 0.903143 -0.418857
1742016812.194692 -28.255205 -16.442837 7.123645 -0.088938 -0.095802 0.895276 -0.425902
1742016813.261818 -28.975872 -16.943726 7.225520 -0.044800 -0.045986 0.919067 -0.388837
1742016814.295609 -29.470669 -17.317682 7.553572 -0.097783 -0.059470 0.932804 -0.341729
1742016815.296059 -30.100128 -17.803026 7.723579 -0.043019 -0.043843 0.932486 -0.355946
1742016816.296622 -30.895800 -18.239498 7.904418 -0.067506 -0.050573 0.942371 -0.323763
1742016817.332835 -31.413782 -18.557243 8.221341 -0.100228 -0.056965 0.922620 -0.368077
1742016818.333089 -32.056870 -18.637535 8.365018 -0.080975 -0.077109 0.925289 -0.362405
1742016819.367358 -32.768173 -18.839931 8.522892 -0.105456 -0.063691 0.915194 -0.383722
1742016820.367500 -33.594955 -18.855625 8.671394 -0.101405 -0.050448 0.949917 -0.291254
1742016821.400917 -34.434521 -18.721928 8.759296 -0.081015 -0.033052 0.973310 -0.212158
1742016822.400998 -35.233242 -18.466576 8.787542 -0.118657 -0.016986 0.992526 -0.022895
1742016823.434430 -36.041615 -18.052557 8.841354 -0.119741 0.005231 0.987922 0.098206
1742016824.434539 -36.677635 -17.648167 8.874799 -0.137988 0.007485 0.986041 0.092878
1742016825.434978 -37.238148 -17.206856 8.852896 -0.157778 0.033585 0.970728 0.177949
1742016826.470669 -37.866543 -16.505693 8.818332 -0.151630 0.015398 0.968793 0.195477
1742016827.503856 -38.468040 -15.901350 8.827683 -0.121022 0.000452 0.990408 0.066675
1742016828.570363 -39.044029 -15.566882 8.815991 -0.131536 -0.019519 0.990313 0.039957
1742016829.603544 -39.660172 -15.280795 8.618279 -0.120039 0.015564 0.988034 0.095585
1742016830.636733 -40.449543 -14.792081 8.451649 -0.114291 -0.000025 0.982230 0.148870
1742016831.703232 -41.101624 -14.252827 8.339085 -0.092696 0.007968 0.977982 0.186804
1742016832.737014 -41.877663 -13.666115 8.227396 -0.089316 -0.018385 0.972014 0.216505
1742016833.771225 -42.593651 -13.079775 8.134645 -0.108014 -0.003353 0.966866 0.231284
1742016834.804900 -43.301620 -12.601052 7.989707 -0.098423 -0.006899 0.975403 0.197114
1742016835.871975 -44.124252 -12.093949 7.873155 -0.115481 -0.036056 0.984713 0.125315
1742016836.872171 -44.837955 -11.726501 7.686571 -0.119701 -0.028840 0.987938 0.093903
1742016837.872334 -45.580173 -11.294331 7.590189 -0.100089 -0.033380 0.985017 0.136415
1742016838.872476 -46.355350 -11.009355 7.385904 -0.106671 -0.028843 0.990312 0.084096
1742016839.905984 -46.971039 -10.815974 7.187654 -0.120077 -0.027744 0.992337 0.008936
1742016840.906161 -47.589169 -10.641641 7.086372 -0.138209 -0.022509 0.989544 0.034571
1742016841.907232 -48.209232 -10.463612 6.884561 -0.131242 -0.010755 0.990878 0.028662
1742016842.941587 -48.761181 -10.349586 6.766574 -0.166588 -0.014626 0.985129 0.039437
1742016843.942020 -49.158630 -10.257393 6.583243 -0.150485 -0.032846 0.985496 -0.071231
1742016844.942439 -49.796700 -10.271430 6.356460 -0.125433 -0.033671 0.988203 -0.081162
1742016845.976211 -50.492226 -10.110904 6.262081 -0.151502 -0.024580 0.988082 0.011682
1742016846.976645 -51.244667 -9.801417 6.114362 -0.082996 -0.052302 0.994931 -0.022081
1742016847.977092 -51.822430 -9.546712 5.890962 -0.140615 -0.048545 0.985908 -0.076531
1742016849.010893 -52.465031 -9.517179 5.744519 -0.126067 -0.018257 0.991428 0.029060
1742016850.046635 -53.200565 -9.364249 5.633786 -0.131541 -0.006755 0.985453 0.107394
1742016851.047681 -53.840656 -9.183846 5.533167 -0.164965 -0.009343 0.980438 0.106959
1742016852.081193 -54.469021 -8.873277 5.466559 -0.152950 0.000208 0.982068 0.110221
1742016853.114729 -55.169998 -8.390568 5.412320 -0.143521 0.000663 0.972088 0.185596
1742016854.148233 -55.805717 -7.842673 5.312669 -0.161940 0.049554 0.932915 0.317789
1742016855.215066 -56.409962 -7.215726 5.211164 -0.176619 0.062246 0.917446 0.351032
1742016856.248586 -57.052624 -6.538105 5.085395 -0.130601 0.031932 0.910812 0.390313
1742016857.282095 -57.661400 -5.925053 4.962717 -0.174463 0.035903 0.910894 0.372217
1742016858.348956 -58.328392 -5.463112 4.932673 -0.201924 -0.010958 0.958573 0.200610
1742016859.349185 -59.171513 -5.145525 4.877637 -0.105272 -0.027544 0.989304 0.097140
1742016860.382704 -60.143288 -4.860374 4.804134 -0.145609 -0.015221 0.982990 0.110893
1742016861.416184 -61.189743 -4.600726 4.752148 -0.146562 -0.020913 0.982515 0.112898
1742016862.449674 -62.276814 -4.444435 4.706614 -0.158515 -0.044253 0.986356 -0.004043
1742016863.449826 -63.203636 -4.437801 4.662920 -0.149586 -0.061890 0.981762 -0.099680
1742016864.449995 -64.153679 -4.490324 4.558517 -0.170871 -0.065315 0.969041 -0.165819
1742016865.483736 -65.142059 -4.660188 4.545756 -0.157588 -0.063165 0.974565 -0.146281
1742016866.485328 -66.093231 -4.873112 4.545079 -0.182680 -0.065203 0.963866 -0.182588
1742016867.486176 -67.053497 -5.146461 4.494002 -0.188358 -0.059311 0.954380 -0.223969
1742016868.522140 -67.991402 -5.541550 4.522487 -0.176472 -0.079718 0.947829 -0.253223
1742016869.555650 -68.922897 -5.993092 4.518641 -0.180895 -0.064627 0.949977 -0.246262
1742016870.622497 -69.972519 -6.451309 4.521286 -0.145947 -0.059307 0.971473 -0.177267
1742016871.656009 -70.962822 -6.718796 4.582762 -0.183185 -0.037878 0.975947 -0.111961
1742016872.656183 -71.967484 -6.809042 4.654441 -0.165786 -0.003451 0.983157 -0.076845
1742016873.689689 -72.978752 -6.846976 4.801435 -0.158272 -0.005937 0.986968 -0.028432
1742016874.723198 -73.968719 -6.717320 4.925826 -0.145067 0.008840 0.989306 -0.012270
1742016875.756729 -74.871109 -6.597345 5.097501 -0.130985 -0.011472 0.991146 -0.018479
1742016876.790244 -75.473984 -6.571293 5.277615 -0.092365 0.008638 0.994071 -0.056722
1742016877.790432 -75.920288 -6.612612 5.335989 -0.103349 -0.023340 0.987688 -0.115098
1742016878.857330 -76.351097 -6.676230 5.331228 -0.106370 0.030463 0.993460 -0.028196
1742016879.890864 -76.579399 -6.552490 5.394670 -0.140950 0.015363 0.975409 0.168744
1742016880.891049 -76.915382 -6.049769 5.497940 -0.145141 -0.011692 0.977731 0.151131
1742016881.891225 -77.556274 -5.878387 5.545084 -0.159019 0.001250 0.985951 0.051100
1742016882.924749 -78.424049 -5.656391 5.565425 -0.120153 -0.016549 0.992591 0.007229
1742016883.925798 -79.221909 -5.469569 5.559191 -0.126313 -0.029678 0.990334 -0.049018
1742016884.993511 -79.880043 -5.445689 5.519227 -0.140669 -0.025767 0.989637 -0.012911
1742016886.060675 -80.268211 -5.453648 5.504725 -0.154239 -0.010209 0.987641 0.025916
1742016891.329723 -80.692024 -5.388921 5.477493 -0.132677 -0.010310 0.990399 -0.037423
1742016892.363491 -81.258644 -5.324416 5.438600 -0.129155 -0.007354 0.991593 -0.003005
1742016893.397260 -82.130524 -5.073919 5.516390 -0.126094 0.020557 0.988911 0.075720
1742016894.397722 -83.092453 -4.773322 5.557863 -0.115960 0.007319 0.990889 0.068107
1742016895.431497 -84.102364 -4.512054 5.598249 -0.111942 -0.005883 0.992274 0.053166
1742016896.431920 -84.941162 -4.307945 5.572837 -0.112909 0.002282 0.993368 0.021614
1742016897.465687 -85.526718 -4.157614 5.550539 -0.148519 -0.006801 0.985934 0.076351
1742016898.466123 -86.323204 -3.888438 5.567100 -0.129275 -0.021816 0.989810 0.055577
1742016899.466568 -87.377434 -3.579222 5.609747 -0.102161 -0.023294 0.993240 0.049953
1742016900.500381 -88.380074 -3.253025 5.665485 -0.097210 0.005221 0.992991 0.067014
1742016901.534251 -89.306824 -2.960164 5.632956 -0.116512 -0.005294 0.991903 0.050246
1742016902.568059 -90.123283 -2.802557 5.626383 -0.128502 0.001334 0.991004 0.037372
1742016903.601851 -90.642006 -2.695449 5.649086 -0.128437 -0.001838 0.991437 0.023522
1742016904.602244 -90.740456 -2.642526 5.637244 -0.136904 -0.000483 0.989190 0.052531
1742016906.669825 -90.881691 -2.561109 5.602793 -0.158121 -0.003369 0.983075 0.092467
1742016907.737880 -91.178978 -2.423220 5.604725 -0.159413 0.003114 0.983006 0.090983
1742016908.773221 -91.515190 -2.449509 5.601063 -0.173382 0.010353 0.979677 0.100325
1742016909.806733 -91.856354 -2.355989 5.600955 -0.167729 0.007460 0.982478 0.080925
1742016910.840253 -92.510132 -2.105914 5.668207 -0.120089 0.024778 0.991636 0.040295
1742016911.873766 -93.238708 -1.875555 5.752489 -0.092179 0.000647 0.995699 0.009304
1742016913.073934 -94.137321 -1.865421 5.742141 -0.124115 0.028043 0.991315 -0.033219
1742016914.074078 -95.068840 -1.854688 5.775849 -0.097845 0.011390 0.995013 -0.015698
1742016915.074258 -96.080238 -1.643466 5.788594 -0.092272 0.013128 0.986021 0.138115
1742016916.107774 -97.064354 -1.410765 5.803749 -0.111922 0.002882 0.988109 0.105381
1742016917.107988 -98.078766 -1.046674 5.782426 -0.079086 -0.008910 0.991558 0.102365
1742016918.108182 -99.023865 -0.576976 5.851908 -0.086285 0.005757 0.985449 0.146330
1742016919.141719 -99.982018 -0.200180 5.823596 -0.106666 0.002284 0.985644 0.130859
1742016920.175234 -100.965576 0.168031 5.857543 -0.117087 -0.001682 0.982972 0.141611
1742016921.175387 -101.972122 0.544340 5.839255 -0.119671 0.009353 0.985759 0.117775
1742016922.177595 -102.927193 0.983909 5.891038 -0.118026 0.002861 0.982905 0.141276
1742016923.211481 -103.973160 1.456803 5.923388 -0.131616 0.005601 0.979750 0.150783
1742016924.212664 -105.081604 1.945486 5.907694 -0.107300 0.000974 0.972643 0.206039
1742016925.247168 -106.075844 2.432384 5.941700 -0.126337 0.034415 0.960559 0.245316
1742016926.247425 -106.930275 2.932603 5.977650 -0.117758 0.000111 0.967879 0.222134
1742016927.280884 -107.743431 3.640763 5.985238 -0.124244 0.013671 0.962633 0.240239
1742016928.280989 -108.561378 4.384291 5.952584 -0.093325 -0.017083 0.960677 0.260958
1742016929.314396 -109.376869 5.172178 5.887004 -0.115679 0.020432 0.954125 0.275403
1742016930.314476 -110.136948 5.881951 5.865878 -0.112024 0.007685 0.954761 0.275360
1742016931.347903 -110.973434 6.628228 5.719902 -0.107724 -0.019994 0.959157 0.260795
1742016932.381346 -112.005882 7.187831 5.687257 -0.107157 -0.018647 0.977430 0.181107
1742016933.383785 -112.854065 7.511049 5.730088 -0.135394 -0.013965 0.985733 0.099015
1742016934.386116 -113.767960 7.845483 5.761322 -0.105149 -0.017858 0.988745 0.104921
1742016935.419202 -114.796585 8.086265 5.784211 -0.112993 0.012995 0.993024 0.031098
1742016936.452155 -115.822769 8.162690 5.771686 -0.107819 -0.017864 0.993964 -0.009622
1742016937.485206 -116.835701 8.217385 5.764019 -0.107134 -0.001835 0.993682 -0.033380
1742016938.486411 -117.746689 8.297203 5.748528 -0.112038 0.032506 0.993126 -0.009550
1742016939.519634 -118.670731 8.328794 5.627971 -0.072512 0.038194 0.996535 0.014197
1742016940.586207 -119.644386 8.238385 5.410660 -0.113020 0.012290 0.993401 -0.015198
1742016941.619849 -120.487785 8.197561 5.270236 -0.123744 0.012032 0.991673 -0.033589
1742016942.653103 -121.385468 8.398338 5.101336 -0.129228 0.010738 0.988313 0.080139
1742016943.686368 -122.323402 8.628199 4.967248 -0.131023 0.009012 0.985255 0.109652
1742016944.719634 -123.310173 8.697837 4.953252 -0.119724 0.009498 0.991186 0.055907
1742016945.786211 -124.390030 8.972301 4.932969 -0.076305 0.011632 0.988950 0.126574
1742016946.886107 -125.538948 9.376714 4.955694 -0.108455 -0.001946 0.986886 0.119543
1742016947.919344 -126.365105 9.640278 4.906813 -0.117403 0.051011 0.978445 0.162049
1742016948.953268 -127.286156 9.943192 4.789634 -0.066891 -0.001602 0.987520 0.142577
1742016949.954815 -128.314697 10.249209 4.742443 -0.085164 -0.015625 0.990959 0.102487
1742016950.989258 -129.396179 10.581671 4.698156 -0.068234 -0.000950 0.991532 0.110484
1742016952.023037 -130.334747 10.878227 4.658545 -0.056487 -0.001113 0.996415 0.062961
1742016953.056926 -131.377594 11.136893 4.667069 -0.065755 0.024161 0.996989 0.033246
1742016954.090789 -132.422668 11.373249 4.662880 -0.036274 -0.021576 0.998433 0.036757
1742016955.091238 -132.884644 11.541420 4.674187 -0.065128 -0.009567 0.996767 0.046078
1742016956.091682 -133.497650 11.875732 4.714245 -0.079201 0.013853 0.990418 0.112279
1742016957.125461 -134.326950 12.289679 4.794538 -0.043170 -0.004297 0.996697 0.068651
1742016958.125918 -135.218781 12.644040 4.966721 -0.047780 -0.012220 0.995180 0.084763
1742016959.159706 -136.260239 13.067677 5.018013 -0.059760 0.000568 0.996845 0.052226
1742016960.160179 -137.288406 13.445961 5.087069 -0.121396 -0.013357 0.992144 0.027128
1742016961.193975 -138.198074 13.802238 5.285038 -0.085525 0.005490 0.991783 0.094980
1742016962.227715 -139.042221 14.112282 5.419951 -0.112229 0.025819 0.984502 0.132267
1742016963.228129 -139.805267 14.439442 5.502804 -0.057706 0.011395 0.996598 0.057732
1742016964.228535 -140.619705 14.830054 5.684948 -0.052965 0.015413 0.997256 0.049364
1742016965.228930 -141.504684 15.250261 5.755377 -0.057464 0.019605 0.982678 0.175093
1742016966.229366 -142.280945 15.753784 5.868957 -0.079048 0.018583 0.970896 0.225315
1742016967.229784 -142.958511 16.433060 5.957057 -0.095596 0.039306 0.969022 0.224307
1742016968.230344 -143.772736 17.046286 5.934297 -0.085154 0.014872 0.972083 0.218134
1742016969.264192 -144.559204 17.732019 5.918925 -0.106944 0.041607 0.946761 0.300790
1742016970.297945 -145.263855 18.473499 5.884398 -0.116410 0.036665 0.934480 0.334443
1742016971.365066 -145.923157 19.197014 5.858995 -0.124293 0.054025 0.947699 0.288962
1742016972.398860 -146.537582 20.016548 5.780024 -0.087130 0.038044 0.924479 0.369189
1742016973.432643 -146.984222 20.828007 5.662744 -0.084771 0.061780 0.880816 0.461692
1742016974.433081 -147.202850 21.595098 5.523081 -0.109253 0.078195 0.826918 0.546037
1742016975.433481 -147.396347 22.332399 5.265749 -0.096620 0.056997 0.836760 0.535956
1742016976.467293 -147.574875 23.125818 5.061753 -0.132534 0.117509 0.858291 0.481626
1742016977.501058 -147.937286 24.030317 4.896593 -0.080893 0.042931 0.916770 0.388776
1742016978.534812 -148.184845 24.760921 4.799120 -0.058828 0.056979 0.839826 0.536643
1742016979.535238 -148.212402 25.167549 4.765357 -0.023596 0.060034 0.718587 0.692439
1742016980.535673 -148.015640 25.192995 4.773485 -0.013098 0.083556 0.499616 0.862108
1742016981.569427 -147.841599 25.122849 4.785512 0.012978 0.060655 0.205398 0.976711
1742016982.636531 -147.808060 24.979231 4.774192 0.022672 0.058861 -0.090659 0.993882
1742016983.636971 -147.839005 24.769358 4.767218 0.026814 0.066404 -0.312183 0.947319
1742016984.670846 -147.798355 24.374741 4.719737 0.054202 0.087599 -0.443746 0.890213
1742016985.671294 -147.504135 23.617659 4.809366 0.071843 0.041839 -0.529954 0.843942
1742016986.671748 -147.215836 22.668192 4.942184 0.080506 0.043756 -0.579279 0.809963
1742016987.705532 -147.030991 21.471720 5.183093 0.061815 0.018455 -0.602269 0.795682
1742016988.739320 -146.637039 20.566687 5.448141 0.082637 0.100881 -0.430634 0.893056
1742016989.739763 -146.128891 19.635576 5.677330 0.016625 0.057875 -0.409688 0.910236
1742016990.773551 -145.530579 18.804695 5.821122 0.049055 0.060993 -0.314402 0.946057
1742016991.807355 -144.743286 18.065060 5.856957 0.025784 0.101517 -0.285348 0.952684
1742016992.874511 -143.932159 17.323523 5.910941 0.014663 0.079807 -0.260886 0.961953
1742016993.908281 -143.097885 16.607822 5.930013 0.049014 0.094287 -0.266776 0.957882
1742016994.942079 -142.312485 16.041723 5.923994 -0.008182 0.083823 -0.215072 0.972960
1742016995.942582 -141.523895 15.477243 5.877828 0.001771 0.099678 -0.194074 0.975908
1742016996.943065 -140.654007 14.993727 5.709168 0.010396 0.056198 -0.030056 0.997913
1742016997.976853 -139.441101 14.567380 5.513442 -0.007626 0.084922 -0.038407 0.995618
1742016999.010655 -138.345200 14.085293 5.426767 -0.006499 0.076637 0.011983 0.996966
1742017000.077780 -137.222580 13.701426 5.270803 0.012435 0.110657 0.013299 0.993692
1742017001.144905 -136.281906 13.405172 5.135211 0.033177 0.057200 -0.001726 0.997810
1742017002.178686 -135.435806 12.974059 4.939917 0.021649 0.104465 -0.157432 0.981750
1742017003.212468 -134.483932 12.374930 4.901782 0.112042 -0.007504 -0.249202 0.961919
1742017004.212901 -134.058685 12.016387 4.862191 0.091418 0.009168 -0.358540 0.928982
1742017005.213322 -133.352997 11.686393 4.779872 0.096576 -0.007569 -0.292037 0.951489
1742017006.247077 -132.270767 11.204573 4.668467 0.094376 0.012160 -0.227986 0.969003
1742017007.247489 -131.078903 10.824595 4.585916 0.045680 0.066981 -0.135777 0.987417
1742017008.247944 -130.010788 10.479233 4.590181 0.035787 0.080870 -0.119773 0.988855
1742017009.315063 -129.067261 10.241486 4.573547 0.010774 0.123660 -0.122417 0.984686
1742017010.315481 -128.065903 9.936473 4.643891 -0.037375 0.071014 -0.114766 0.990146
1742017011.315983 -127.094505 9.511318 4.804513 -0.009060 0.029950 -0.126575 0.991463
1742017012.316477 -126.223526 9.131466 4.864604 0.001096 0.048592 -0.168961 0.984424
1742017013.316903 -125.452843 8.815825 4.885963 0.018740 0.071651 -0.134863 0.988093
1742017014.350708 -124.696846 8.538031 4.827975 0.022281 0.098979 -0.147983 0.983772
1742017015.351136 -123.948326 8.353716 4.813642 -0.010719 0.095210 -0.099633 0.990401
1742017016.418308 -123.014000 8.153114 4.874650 -0.016973 0.062433 -0.054757 0.996401
