#timestamp x y z qx qy qz qw
1742016755.849736 -0.000337 -0.013597 -0.009785 0.199404 0.182936 -0.678593 0.682850
1742016757.943637 -0.126916 0.010560 0.008817 0.197691 0.119671 -0.756498 0.611808
1742016759.007386 -0.487166 0.258966 0.018748 -0.186650 -0.081829 0.887203 -0.413928
1742016760.036739 -0.862553 0.491915 -0.003142 -0.185700 -0.024640 0.965719 -0.179708
1742016761.036909 -1.192436 0.816621 -0.035463 -0.191322 -0.035724 0.975817 -0.099503
1742016762.037653 -1.590531 1.017076 -0.082297 -0.189054 -0.006843 0.981792 0.017219
1742016763.072353 -2.051185 1.282893 -0.181375 -0.195718 -0.024028 0.980219 -0.016953
1742016764.106852 -2.616583 1.396383 -0.254123 -0.191052 -0.064860 0.964848 -0.168404
1742016765.107260 -3.292431 1.263501 -0.311414 -0.173991 -0.067747 0.945009 -0.268506
1742016766.141239 -3.950036 0.928290 -0.337710 -0.163345 -0.095720 0.912494 -0.362643
1742016767.141610 -4.564603 0.517167 -0.349001 -0.166057 -0.100081 0.885205 -0.422872
1742016768.142016 -5.141976 -0.050599 -0.361515 -0.183525 -0.094524 0.871372 -0.445079
1742016769.142399 -5.645241 -0.660427 -0.304712 0.150881 0.081742 -0.845514 0.505627
1742016770.176141 -6.189121 -1.268750 -0.253263 0.144462 0.085321 -0.845688 0.506620
1742016771.209866 -6.805539 -1.910463 -0.193471 -0.132043 -0.074628 0.859239 -0.488574
1742016772.276969 -7.436979 -2.602556 -0.082966 -0.156933 -0.052843 0.896542 -0.410844
1742016773.344109 -8.059522 -3.058688 0.061352 -0.143331 -0.041127 0.923607 -0.353149
1742016774.377876 -8.776501 -3.421609 0.204523 -0.129534 -0.022124 0.954493 -0.267720
1742016775.411641 -9.532837 -3.830303 0.301022 -0.094327 -0.028276 0.964641 -0.244480
1742016776.445416 -10.299685 -4.209411 0.335723 -0.064586 -0.043166 0.947203 -0.311082
1742016777.479280 -11.183710 -4.537153 0.442822 -0.066186 -0.044775 0.946379 -0.313019
1742016778.513090 -12.139844 -4.851960 0.527509 -0.038438 -0.030502 0.957444 -0.284416
1742016779.546905 -12.931253 -5.212870 0.751996 -0.043788 -0.046829 0.960504 -0.270779
1742016780.580685 -13.761151 -5.572943 0.806651 -0.063553 -0.026513 0.978252 -0.195653
1742016781.614465 -14.547548 -5.806637 0.934354 -0.056888 -0.031677 0.976755 -0.204229
1742016782.614901 -15.149797 -6.007253 1.160649 -0.075925 -0.028939 0.959204 -0.270786
1742016783.648683 -15.913421 -6.303594 1.230002 -0.078013 -0.049129 0.926879 -0.363863
1742016784.649118 -16.517262 -6.666553 1.323139 -0.089075 -0.051137 0.936022 -0.336622
1742016785.649545 -16.886467 -6.922332 1.602750 -0.098426 -0.060396 0.917723 -0.380065
1742016786.683331 -17.541327 -7.414039 1.678190 -0.074836 -0.060528 0.906655 -0.410747
1742016787.683771 -17.993866 -7.874397 1.825162 -0.077484 -0.042465 0.907764 -0.410071
1742016788.684211 -18.371374 -8.233067 2.119236 -0.087222 -0.050585 0.888999 -0.446670
1742016789.684684 -18.775410 -8.763855 2.262870 -0.047101 -0.058103 0.883171 -0.463050
1742016790.719815 -19.192802 -9.238983 2.376373 -0.051326 -0.059692 0.878953 -0.470367
1742016791.754863 -19.562099 -9.651472 2.559237 -0.056660 -0.055384 0.920632 -0.382307
1742016792.755046 -19.891663 -10.002604 2.850899 -0.087068 -0.043197 0.921543 -0.375916
1742016793.788565 -20.351383 -10.336739 3.009228 -0.061378 -0.045978 0.912911 -0.400889
1742016794.822100 -20.739191 -10.622275 3.351893 -0.079959 -0.040322 0.924628 -0.370195
1742016795.855629 -21.294142 -10.874353 3.504989 -0.071079 -0.037692 0.930152 -0.358253
1742016796.889148 -21.738333 -11.203955 3.766856 -0.096130 -0.044719 0.919266 -0.379090
1742016797.889325 -21.970522 -11.380994 3.830968 -0.099675 -0.063870 0.929496 -0.349318
1742016798.889511 -22.396034 -11.720918 3.958924 -0.100857 -0.049846 0.932081 -0.344338
1742016799.923012 -22.788082 -11.907582 4.333819 -0.095307 -0.045320 0.952534 -0.285555
1742016800.956528 -23.163465 -12.079402 4.464565 -0.097410 -0.036164 0.921316 -0.374674
1742016801.990026 -23.605247 -12.384469 4.765043 -0.111841 -0.050903 0.917013 -0.379458
1742016802.990187 -24.011890 -12.643790 5.112783 -0.118434 -0.073460 0.902787 -0.406881
1742016804.023683 -24.477776 -13.123379 5.376352 -0.094995 -0.075878 0.917380 -0.378989
1742016805.023819 -25.078051 -13.528808 5.689244 -0.120608 -0.075626 0.915566 -0.376129
1742016806.057340 -25.501827 -13.882236 5.773735 -0.120684 -0.077675 0.927428 -0.345369
1742016807.092221 -25.921808 -14.083403 6.085215 -0.136201 -0.055325 0.908877 -0.390296
1742016808.126231 -26.545568 -14.536938 6.325783 -0.063033 -0.066246 0.913983 -0.395314
1742016809.126643 -27.207577 -14.934510 6.611305 -0.078371 -0.054034 0.908544 -0.406801
1742016810.160457 -27.656563 -15.270834 6.700749 -0.093641 -0.060986 0.912783 -0.392861
1742016811.194246 -28.067249 -15.523157 7.008667 -0.058996 -0.072951 0.907129 -0.410262
1742016812.194692 -28.495789 -16.009033 7.195934 -0.087333 -0.096472 0.899403 -0.417302
1742016813.261818 -29.224983 -16.496578 7.301754 -0.042657 -0.046965 0.922736 -0.380176
1742016814.295609 -29.724688 -16.861530 7.632496 -0.095708 -0.059825 0.936187 -0.332889
1742016815.296059 -30.362011 -17.335260 7.805922 -0.040807 -0.044747 0.935845 -0.347170
1742016816.296622 -31.164545 -17.757065 7.991176 -0.065317 -0.051159 0.945502 -0.314869
1742016817.332835 -31.686459 -18.065378 8.310952 -0.098166 -0.057372 0.926255 -0.359337
1742016818.333089 -32.330070 -18.133860 8.458338 -0.079092 -0.077677 0.928810 -0.353587
1742016819.367358 -33.044064 -18.323172 8.620255 -0.103483 -0.064093 0.918987 -0.375028
1742016820.367500 -33.870110 -18.323671 8.773573 -0.099182 -0.050629 0.952846 -0.282283
1742016821.400917 -34.706520 -18.174534 8.866450 -0.078538 -0.033221 0.975477 -0.202911
1742016822.400998 -35.500122 -17.904293 8.899541 -0.115903 -0.016270 0.993037 -0.013391
1742016823.434430 -36.300091 -17.475073 8.958443 -0.116725 0.006294 0.987276 0.107800
1742016824.434539 -36.927544 -17.058542 8.996320 -0.134905 0.008676 0.985458 0.102950
1742016825.434978 -37.479015 -16.605909 8.978251 -0.154404 0.035233 0.969319 0.187988
1742016826.470669 -38.092556 -15.891897 8.948526 -0.148385 0.017033 0.967087 0.205995
1742016827.503856 -38.680313 -15.274776 8.962672 -0.117917 0.001335 0.989961 0.077919
1742016828.570363 -39.248417 -14.927440 8.955206 -0.128658 -0.018603 0.990173 0.051571
1742016829.603544 -39.858917 -14.626880 8.761784 -0.116702 0.016515 0.987223 0.107233
1742016830.636733 -40.637508 -14.119504 8.600874 -0.111097 0.001029 0.980732 0.160691
1742016831.703232 -41.277111 -13.564647 8.493293 -0.089369 0.008884 0.975927 0.198749
1742016832.737014 -42.039223 -12.959041 8.387487 -0.086290 -0.017408 0.969517 0.228666
1742016833.771225 -42.739590 -12.355243 8.301521 -0.104755 -0.002059 0.964101 0.243992
1742016834.804900 -43.434174 -11.858225 8.163359 -0.095166 -0.005803 0.972894 0.210683
1742016835.871975 -44.229126 -11.331007 8.065973 -0.112623 -0.034813 0.982989 0.140842
1742016836.872171 -44.917767 -10.943936 7.898175 -0.116695 -0.027470 0.986543 0.111176
1742016837.872334 -45.613762 -10.492309 7.836676 -0.097092 -0.032046 0.982578 0.155197
1742016838.872476 -46.354008 -10.182794 7.661451 -0.103585 -0.027448 0.988769 0.104180
1742016839.905984 -46.952480 -9.966477 7.477553 -0.116997 -0.026246 0.992332 0.030012
1742016840.906161 -47.557205 -9.767368 7.386915 -0.134957 -0.020443 0.989041 0.056277
1742016841.907232 -48.169136 -9.562393 7.191278 -0.127706 -0.008817 0.990474 0.050736
1742016842.941587 -48.715752 -9.423944 7.078246 -0.163114 -0.011818 0.984605 0.061699
1742016843.942020 -49.109928 -9.313663 6.898224 -0.147528 -0.030794 0.987376 -0.048741
1742016844.942439 -49.749645 -9.298449 6.676316 -0.122493 -0.032216 0.990217 -0.058552
1742016845.976211 -50.437767 -9.106483 6.587709 -0.148227 -0.022165 0.988105 0.034436
1742016846.976645 -51.175938 -8.762822 6.446872 -0.080362 -0.051566 0.995430 0.001062
1742016847.977092 -51.742004 -8.481558 6.229482 -0.137940 -0.046658 0.987907 -0.053253
1742016849.010893 -52.383545 -8.421875 6.088255 -0.122531 -0.016298 0.990945 0.052435
1742016850.046635 -53.111881 -8.234499 5.983734 -0.127651 -0.004344 0.983163 0.130675
1742016851.047681 -53.743362 -8.024049 5.888763 -0.161122 -0.006123 0.978276 0.130299
1742016852.081193 -54.356789 -7.684024 5.827900 -0.148848 0.003171 0.979778 0.133674
1742016853.114729 -55.034382 -7.168480 5.780380 -0.139336 0.003740 0.967949 0.208917
1742016854.148233 -55.643852 -6.590645 5.687143 -0.156554 0.053669 0.925717 0.340085
1742016855.215066 -56.218018 -5.935173 5.591929 -0.170925 0.066892 0.909497 0.372995
1742016856.248586 -56.828133 -5.227079 5.472946 -0.125596 0.035697 0.901636 0.412314
1742016857.282095 -57.407269 -4.584948 5.356697 -0.169323 0.040729 0.902282 0.394408
1742016858.348956 -58.051071 -4.090904 5.333199 -0.197885 -0.006179 0.954192 0.224323
1742016859.349185 -58.877960 -3.732243 5.285972 -0.101629 -0.025572 0.987021 0.121687
1742016860.382704 -59.834919 -3.399493 5.221454 -0.141641 -0.012163 0.980546 0.135347
1742016861.416184 -60.867657 -3.088391 5.178927 -0.142723 -0.017799 0.980015 0.137420
1742016862.449674 -61.945957 -2.878414 5.143062 -0.155341 -0.041317 0.986778 0.020777
1742016863.449826 -62.871624 -2.825734 5.107391 -0.146968 -0.059575 0.984502 -0.074877
1742016864.449995 -63.823898 -2.830860 5.011141 -0.168443 -0.062722 0.973524 -0.141220
1742016865.483736 -64.819550 -2.951361 5.006637 -0.155068 -0.060825 0.978506 -0.121574
1742016866.485328 -65.780098 -3.116742 5.013803 -0.180285 -0.062384 0.968819 -0.158102
1742016867.486176 -66.753159 -3.341911 4.970547 -0.185896 -0.056521 0.960395 -0.199725
1742016868.522140 -67.709259 -3.689955 5.006436 -0.174579 -0.077336 0.954502 -0.229056
1742016869.555650 -68.662048 -4.094630 5.009838 -0.178608 -0.062112 0.956510 -0.222104
1742016870.622497 -69.733093 -4.500114 5.020742 -0.143379 -0.057388 0.976138 -0.152654
1742016871.656009 -70.734901 -4.718182 5.090299 -0.179988 -0.034763 0.979169 -0.087313
1742016872.656183 -71.742149 -4.758537 5.170500 -0.161672 -0.000636 0.985463 -0.052194
1742016873.689689 -72.752762 -4.746482 5.326159 -0.154158 -0.003104 0.988034 -0.003698
1742016874.723198 -73.733955 -4.568056 5.459336 -0.140563 0.011407 0.989928 0.012440
1742016875.756729 -74.626770 -4.403960 5.639921 -0.127004 -0.009274 0.991838 0.006453
1742016876.790244 -75.225807 -4.348301 5.825475 -0.087935 0.009699 0.995574 -0.031728
1742016877.790432 -75.673035 -4.367352 5.887667 -0.099815 -0.022236 0.990675 -0.090026
1742016878.857330 -76.106483 -4.409240 5.886520 -0.101376 0.031988 0.994329 -0.003161
1742016879.890864 -76.326523 -4.274547 5.953231 -0.136206 0.018619 0.971409 0.193560
1742016880.891049 -76.632812 -3.756246 6.062916 -0.141116 -0.008388 0.974095 0.176510
1742016881.891225 -77.262932 -3.552300 6.116437 -0.154738 0.004483 0.984955 0.076806
1742016882.924749 -78.117676 -3.285734 6.144704 -0.116375 -0.014508 0.992544 0.033221
1742016883.925798 -78.904602 -3.057747 6.145737 -0.122955 -0.027704 0.991760 -0.022936
1742016884.993511 -79.560822 -2.999548 6.111444 -0.137174 -0.023266 0.990186 0.013207
1742016886.060675 -79.948845 -2.987226 6.100324 -0.150303 -0.007193 0.987246 0.051987
1742016891.329723 -80.368744 -2.900369 6.076927 -0.128816 -0.008126 0.991572 -0.011215
1742016892.363491 -80.931198 -2.806186 6.043197 -0.125176 -0.005123 0.991848 0.023273
1742016893.397260 -81.787590 -2.510461 6.129226 -0.121302 0.023027 0.987108 0.101846
1742016894.397722 -82.731483 -2.159760 6.179823 -0.111531 0.009489 0.989218 0.094444
1742016895.431497 -83.724091 -1.845839 6.230764 -0.107894 -0.003881 0.990952 0.079739
1742016896.431920 -84.550095 -1.597484 6.213617 -0.108694 0.004174 0.992891 0.048338
1742016897.465687 -85.126740 -1.416005 6.196681 -0.144505 -0.003719 0.984122 0.102999
1742016898.466123 -85.907402 -1.104540 6.220491 -0.125691 -0.019334 0.988449 0.082437
1742016899.466568 -86.942986 -0.739215 6.272640 -0.098633 -0.021570 0.991911 0.076940
1742016900.500381 -87.926048 -0.359614 6.337415 -0.092907 0.006871 0.991211 0.093925
1742016901.534251 -88.835808 -0.017040 6.313199 -0.112511 -0.003186 0.990642 0.077201
1742016902.568059 -89.642532 0.184447 6.313737 -0.124338 0.003712 0.990148 0.064295
1742016903.601851 -90.154480 0.319350 6.340965 -0.124374 0.000482 0.990951 0.050475
1742016904.602244 -90.249992 0.377541 6.330075 -0.132774 0.002187 0.987957 0.079418
1742016906.669825 -90.386887 0.466560 6.296980 -0.154036 0.000045 0.980847 0.119212
1742016907.737880 -90.676254 0.620299 6.301677 -0.155154 0.006555 0.980832 0.117702
1742016908.773221 -91.013405 0.612218 6.300723 -0.168924 0.014211 0.977317 0.126938
1742016909.806733 -91.348991 0.724029 6.303636 -0.163364 0.011084 0.980615 0.107627
1742016910.840253 -91.987724 1.008867 6.376836 -0.115288 0.026932 0.990695 0.067129
1742016911.873766 -92.702057 1.278009 6.467649 -0.088064 0.001924 0.995451 0.036322
1742016913.073934 -93.598831 1.336691 6.464726 -0.119318 0.030005 0.992382 -0.006375
1742016914.074078 -94.528076 1.397628 6.506131 -0.093470 0.012715 0.995477 0.011274
1742016915.074258 -95.526253 1.663100 6.527832 -0.087709 0.014930 0.982297 0.164851
1742016916.107774 -96.495483 1.948586 6.552192 -0.107678 0.005079 0.985327 0.132329
1742016917.107988 -97.480835 2.365609 6.547259 -0.075227 -0.007643 0.988672 0.129652
1742016918.108182 -98.390808 2.884604 6.632249 -0.082043 0.007380 0.981370 0.173575
1742016919.141719 -99.320671 3.312442 6.618155 -0.102592 0.004400 0.982031 0.158336
1742016920.175234 -100.278786 3.733928 6.663591 -0.113152 0.000766 0.979076 0.169136
1742016921.175387 -101.261169 4.165438 6.655581 -0.115486 0.011773 0.982535 0.145430
1742016922.177595 -102.188538 4.657294 6.716870 -0.114041 0.005328 0.978992 0.168942
1742016923.211481 -103.204666 5.187679 6.759608 -0.127584 0.008489 0.975610 0.178426
1742016924.212664 -104.283150 5.737735 6.754190 -0.103398 0.003392 0.966838 0.233500
1742016925.247168 -105.247673 6.279640 6.797182 -0.121503 0.037515 0.953754 0.272364
1742016926.247425 -106.072006 6.827076 6.840885 -0.113934 0.002890 0.961633 0.249546
1742016927.280884 -106.843597 7.579947 6.856361 -0.120062 0.016701 0.955906 0.267488
1742016928.280989 -107.618332 8.368603 6.831533 -0.090042 -0.014836 0.953201 0.288238
1742016929.314396 -108.388298 9.201555 6.773789 -0.111365 0.023361 0.946360 0.302415
1742016930.314476 -109.106850 9.953255 6.759985 -0.108110 0.010521 0.946956 0.302450
1742016931.347903 -109.899788 10.745985 6.622465 -0.104661 -0.017310 0.951698 0.288128
1742016932.381346 -110.898643 11.363288 6.598577 -0.104143 -0.016259 0.972218 0.209001
1742016933.383785 -111.726654 11.733997 6.648041 -0.132314 -0.011062 0.982950 0.127200
1742016934.386116 -112.619804 12.119688 6.686291 -0.102174 -0.015796 0.985687 0.133162
1742016935.419202 -113.632866 12.418414 6.716752 -0.109220 0.015014 0.992128 0.059398
1742016936.452155 -114.653091 12.553018 6.711360 -0.104975 -0.016117 0.994166 0.018818
1742016937.485206 -115.661301 12.665162 6.710670 -0.103867 -0.000192 0.994579 -0.004993
1742016938.486411 -116.566360 12.796621 6.701531 -0.107764 0.034354 0.993407 0.018703
1742016939.519634 -117.487885 12.880966 6.587300 -0.068051 0.038992 0.996015 0.042468
1742016940.586207 -118.466370 12.846566 6.376486 -0.109326 0.014155 0.993818 0.013135
1742016941.619849 -119.311302 12.854018 6.241967 -0.120082 0.014143 0.992649 -0.005284
1742016942.653103 -120.197151 13.105900 6.079679 -0.125465 0.013389 0.986077 0.108314
1742016943.686368 -121.121353 13.389014 5.952513 -0.127280 0.011818 0.982186 0.137736
1742016944.719634 -122.102600 13.514603 5.945385 -0.116022 0.011795 0.989604 0.084165
1742016945.786211 -123.165131 13.849977 5.933147 -0.072476 0.012934 0.985218 0.154676
1742016946.886107 -124.288857 14.318870 5.964781 -0.105085 0.000265 0.983435 0.147689
1742016947.919344 -125.098877 14.629053 5.922097 -0.112568 0.053612 0.973875 0.189792
1742016948.953268 -126.001862 14.984132 5.811663 -0.063569 -0.000489 0.983272 0.170691
1742016949.954815 -127.011505 15.348223 5.771950 -0.082273 -0.014119 0.987891 0.130783
1742016950.989258 -128.072556 15.741733 5.735478 -0.064921 0.000093 0.988201 0.138725
1742016952.023037 -128.992935 16.091261 5.702660 -0.053227 -0.000563 0.994396 0.091346
1742016953.056926 -130.019302 16.408762 5.718546 -0.061809 0.024870 0.995875 0.061590
1742016954.090789 -131.049240 16.704151 5.721681 -0.033632 -0.021678 0.997066 0.065250
1742016955.091238 -131.500824 16.898277 5.736376 -0.062125 -0.008821 0.995244 0.074518
1742016956.091682 -132.093552 17.266783 5.781187 -0.075464 0.015209 0.987090 0.140454
1742016957.125461 -132.897430 17.726978 5.867831 -0.039998 -0.004106 0.994468 0.097035
1742016958.125918 -133.766541 18.130991 6.046631 -0.044816 -0.011841 0.992499 0.113128
1742016959.159706 -134.781860 18.612999 6.105669 -0.056464 0.001177 0.995143 0.080626
1742016960.160179 -135.786377 19.048923 6.182275 -0.118517 -0.011064 0.991336 0.055527
1742016961.193975 -136.673035 19.455795 6.386968 -0.082040 0.006973 0.988956 0.123236
1742016962.227715 -137.497299 19.812954 6.528076 -0.108132 0.028181 0.980728 0.160269
1742016963.228129 -138.239960 20.182732 6.616642 -0.054097 0.011959 0.994746 0.086086
1742016964.228535 -139.029510 20.618471 6.805148 -0.049361 0.015840 0.995627 0.077717
1742016965.228930 -139.888351 21.088032 6.882401 -0.053743 0.020577 0.977493 0.202967
1742016966.229366 -140.633224 21.634378 7.002552 -0.075488 0.020345 0.964341 0.252851
1742016967.229784 -141.269806 22.350658 7.096689 -0.091616 0.041545 0.962553 0.251738
1742016968.230344 -142.047638 23.009092 7.079897 -0.081993 0.016817 0.965727 0.245693
1742016969.264192 -142.793518 23.738283 7.070355 -0.103170 0.044403 0.938141 0.327529
1742016970.297945 -143.454819 24.518526 7.040893 -0.112949 0.039825 0.924916 0.360814
1742016971.365066 -144.071793 25.278193 7.020027 -0.120534 0.057303 0.939438 0.315664
1742016972.398860 -144.638596 26.131195 6.945433 -0.084084 0.040465 0.913864 0.395152
1742016973.432643 -145.038696 26.966679 6.831285 -0.081300 0.064309 0.867622 0.486299
1742016974.433081 -145.213837 27.744993 6.693550 -0.105576 0.081543 0.811421 0.569035
1742016975.433481 -145.366119 28.492275 6.437637 -0.093730 0.059959 0.821523 0.559213
1742016976.467293 -145.500275 29.294651 6.234775 -0.128068 0.121376 0.844640 0.505420
1742016977.501058 -145.811752 30.218172 6.071061 -0.078509 0.045256 0.905614 0.414308
1742016978.534812 -146.018158 30.961576 5.974675 -0.056087 0.058871 0.824537 0.559935
1742016979.535238 -146.022903 31.369125 5.941306 -0.020996 0.061127 0.698972 0.712223
1742016980.535673 -145.824921 31.383501 5.949140 -0.010188 0.084492 0.475392 0.875648
1742016981.569427 -145.654953 31.303728 5.960960 0.014921 0.060929 0.178115 0.982008
1742016982.636531 -145.629013 31.158371 5.949986 0.024287 0.058796 -0.118261 0.990943
1742016983.636971 -145.670135 30.950232 5.944391 0.028436 0.065980 -0.338327 0.938282
1742016984.670846 -145.651428 30.553957 5.896969 0.056355 0.086375 -0.468269 0.877546
1742016985.671294 -145.399521 29.781752 5.986533 0.072691 0.040118 -0.553165 0.828924
1742016986.671748 -145.164139 28.817789 6.119325 0.081388 0.041776 -0.601534 0.793592
1742016987.705532 -145.045654 27.612953 6.360333 0.061995 0.016995 -0.624110 0.778688
1742016988.739320 -144.702179 26.687517 6.625301 0.085148 0.098748 -0.455225 0.880777
1742016989.739763 -144.245972 25.729727 6.854704 0.017971 0.057428 -0.434709 0.898558
1742016990.773551 -143.692795 24.866751 7.000258 0.050453 0.059378 -0.340400 0.937047
1742016991.807355 -142.944916 24.084280 7.039229 0.028262 0.100167 -0.311509 0.944526
1742016992.874511 -142.172592 23.298552 7.097824 0.016485 0.078366 -0.287267 0.954497
1742016993.908281 -141.373474 22.536942 7.124384 0.051186 0.091386 -0.292970 0.950367
1742016994.942079 -140.612000 21.926821 7.129218 -0.006409 0.082102 -0.241758 0.966836
1742016995.942582 -139.844757 21.317608 7.096889 0.003884 0.097285 -0.220843 0.970437
1742016996.943065 -138.971725 20.780342 6.961542 0.010826 0.053324 -0.057421 0.996866
1742016997.976853 -137.766968 20.284300 6.788198 -0.006470 0.082201 -0.065796 0.994421
1742016999.010655 -136.691238 19.741110 6.716065 -0.005813 0.073653 -0.015463 0.997147
1742017000.077780 -135.584732 19.294678 6.573618 0.013937 0.106818 -0.014065 0.994081
1742017001.144905 -134.657761 18.946255 6.448397 0.033196 0.052598 -0.029050 0.997641
1742017002.178686 -133.834213 18.468573 6.261552 0.023552 0.099884 -0.184380 0.977483
1742017003.212468 -132.915756 17.817907 6.233030 0.111215 -0.014657 -0.275054 0.954862
1742017004.212901 -132.510040 17.436346 6.198276 0.091534 0.002460 -0.383555 0.918967
