#timestamp x y z qx qy qz qw
1741707228.608966 -0.000000 0.000000 0.000000 0.162172 0.194086 -0.699625 0.668248
1741707230.672034 -0.034344 -0.129241 -0.009098 0.172621 0.184286 -0.711740 0.655490
1741707231.701035 -0.191275 -0.719558 0.012876 0.154125 0.178903 -0.716234 0.656695
1741707232.731081 -0.359150 -1.657226 0.043503 0.158191 0.182611 -0.746888 0.619506
1741707238.991860 -0.553578 -2.864033 0.061853 0.156870 0.164733 -0.724271 0.650912
1741707241.091664 -0.619141 -3.245739 0.066330 0.159095 0.151702 -0.733337 0.643344
1741707245.225787 -0.702988 -3.491631 0.151902 0.078494 0.087520 -0.739369 0.662957
1741707247.325769 -0.789005 -4.121976 0.182702 0.047499 0.074587 -0.750530 0.654894
1741707248.325779 -0.931602 -4.888517 0.211783 0.039743 0.075608 -0.749165 0.656853
1741707249.359103 -1.053226 -5.793224 0.238095 0.023437 0.065614 -0.743490 0.665108
1741707250.425767 -1.200020 -6.774541 0.284280 0.022175 0.067053 -0.737471 0.671676
1741707251.425788 -1.300488 -7.673639 0.304201 0.036370 0.063299 -0.731679 0.677728
1741707252.459131 -1.400277 -8.660465 0.335611 0.020010 0.056857 -0.763588 0.642884
1741707253.559143 -1.511724 -9.739713 0.357660 0.033306 0.057149 -0.760185 0.646331
1741707254.559160 -1.667069 -10.685206 0.391169 0.024929 0.061835 -0.754052 0.653422
1741707255.559166 -1.828322 -11.696358 0.387289 0.022743 0.080112 -0.754965 0.650456
1741707256.625821 -1.940055 -12.761204 0.427479 0.021437 0.073575 -0.745403 0.662194
1741707257.659150 -2.085300 -13.913734 0.463315 0.030759 0.073961 -0.752792 0.653367
1741707258.660617 -2.231337 -15.023010 0.491859 0.037517 0.070058 -0.763694 0.640669
1741707259.662179 -2.387849 -16.238916 0.507366 0.026156 0.067726 -0.768457 0.635770
1741707260.795681 -2.559484 -17.630974 0.549879 0.026170 0.066867 -0.761950 0.643643
1741707261.828635 -2.742557 -18.914089 0.599304 0.033402 0.062245 -0.768293 0.636188
1741707262.861587 -2.917762 -20.147074 0.646423 0.031568 0.069133 -0.762770 0.642189
1741707263.927853 -3.042253 -21.474266 0.661148 0.023726 0.077667 -0.755814 0.649730
1741707264.960802 -3.111831 -22.715200 0.679686 0.129205 -0.027832 -0.738727 0.660919
1741707265.993756 -3.278100 -23.862185 0.720619 0.170517 -0.079564 -0.737969 0.648070
1741707267.026684 -3.409568 -25.016911 0.749849 0.041446 0.050839 -0.770220 0.634396
1741707268.059637 -3.629302 -26.198387 0.835464 -0.126449 0.221515 -0.728845 0.635395
1741707269.092578 -3.865343 -27.379911 0.902752 -0.163468 0.217119 -0.722096 0.636172
1741707270.125546 -3.930288 -28.493013 0.859651 0.025841 0.046889 -0.734277 0.676736
1741707271.191862 -4.042606 -29.759937 0.891005 0.163259 -0.070311 -0.726989 0.663242
1741707272.224798 -4.176968 -31.010424 0.955767 0.225638 -0.182169 -0.700778 0.651776
1741707273.291112 -4.370665 -32.230335 0.990425 0.257602 -0.242813 -0.689095 0.632323
1741707274.324355 -4.714867 -33.346767 1.002258 0.206855 -0.164081 -0.757259 0.597368
1741707275.325393 -4.973823 -34.388496 1.015901 0.017810 0.093555 -0.741128 0.664574
1741707276.359157 -5.151603 -35.519070 1.034443 -0.084879 0.171081 -0.652485 0.733342
1741707277.425809 -5.283528 -36.631405 1.052963 -0.143629 0.164808 -0.585817 0.780402
1741707278.459131 -5.218443 -37.638428 0.972570 -0.183624 0.140952 -0.461356 0.856484
