time(millisecond);datetime(utc);latitude;longitude;height_above_takeoff(feet);height_above_ground_at_drone_location(feet);ground_elevation_at_drone_location(feet);altitude_above_seaLevel(feet);height_sonar(feet);speed(mph);distance(feet);mileage(feet);satellites;gpslevel;voltage(v);max_altitude(feet);max_ascent(feet);max_speed(mph);max_distance(feet); xSpeed(mph); ySpeed(mph); zSpeed(mph); compass_heading(degrees); pitch(degrees); roll(degrees);isPhoto;isVideo;rc_elevator;rc_aileron;rc_throttle;rc_rudder;rc_elevator(percent);rc_aileron(percent);rc_throttle(percent);rc_rudder(percent);gimbal_heading(degrees);gimbal_pitch(degrees);gimbal_roll(degrees);battery_percent;voltageCell1;voltageCell2;voltageCell3;voltageCell4;voltageCell5;voltageCell6;current(A);battery_temperature(f);altitude(feet);ascent(feet);flycStateRaw;flycState;message
399940;31/12/1969 16:00;0;0;0;Available with any HD 360 subscription;Available with any HD 360 subscription;52.699.443.615.516;0;0;0;0;0;0;0;52.699.443.615.516;0;0;0;0;0;0;0;0;0;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.699.443.615.516;0;0;;"[commander] Armed by RC (switch)	"
400570;31/12/1969 16:00;0;0;0;;;52.699.443.615.516;0;0;0;0;0;0;0;52.699.443.615.516;0;0;0;0;0;0;0;0;0;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.699.443.615.516;0;0;;[logger] Opened full log file: /fs/microsd/log/2025-03-21/07_50_19.ulg
400940;31/12/1969 16:00;0;0;0;;;52.699.443.615.516;0;0;0;0;0;0;0;52.699.443.615.516;0;0;0;0;0;0;0;0;0;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.699.443.615.516;0;0;;
401130;21/03/2025 07:57;-13.025.673;1.194.049.474;0;;;52.699.443.615.516;0;0.0894776;0;0;27;0;0;52.699.443.615.516;0;0.0894776;0;0;0;0;181.1; 3.5; -1.7;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.699.443.615.516;0;0;;
401330;21/03/2025 07:57;-13.025.674;1.194.049.474;-0.81488191584;;;51.884.561.699.676;0;0.1565858;0.036484909304;0.036484909304;27;0;0;52.699.443.615.516;0;0.1565858;0.036484909304;0;0;0;181; 3.5; -1.7;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;51.884.561.699.676;-0.81488191584;0;;
401520;21/03/2025 07:57;-13.025.673;1.194.049.475;110.096.460.216;;;53.800.408.217.676;0;0.1565858;0.036475394868;0.08807579022;27;0;0;53.800.408.217.676;110.096.460.216;0.1565858;0.036484909304;0;0;0;181; 3.5; -1.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;53.800.408.217.676;110.096.460.216;0;;
401720;21/03/2025 07:57;-13.025.674;1.194.049.478;-0.26873688524;;;52.430.706.730.276;0;0.2684328;0.150394689852;0.203424547192;27;0;0;53.800.408.217.676;110.096.460.216;0.2684328;0.150394689852;0;0;0;180.8; 3.5; -1.8;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.430.706.730.276;-0.26873688524;0;;
401920;21/03/2025 07:57;-13.025.675;119.404.948;0.27740486452;;;52.976.848.480.036;0;0.3579104;0.230697513944;0.284990494684;27;0;165.789;53.800.408.217.676;110.096.460.216;0.3579104;0.230697513944;0;0;0;180.8; 3.5; -1.9;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;52.976.848.480.036;0.27740486452;0;;
402130;21/03/2025 07:57;-13.025.676;1.194.049.482;0.96226709116;;;53.661.710.706.676;0;0.3131716;0.31165683412;0.36655512984;27;0;165.789;53.800.408.217.676;110.096.460.216;0.3579104;0.31165683412;0;0;0;180.6; 3.5; -1.9;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;53.661.710.706.676;0.96226709116;0;;
402330;21/03/2025 07:57;-13.025.676;1.194.049.482;0.82355973764;;;53.523.003.353.156;0;0.1565858;0.31165683412;0.36655512984;27;0;165.789;53.800.408.217.676;110.096.460.216;0.3579104;0.31165683412;0;0;0;180.5; 3.5; -1.9;0;0;1024;1024;1024;1024;0;0;0;0;0;0;0;97;;;;;;;0;32;53.523.003.353.156;0.82355973764;0;;
