timestamp,tag_id,pos_x,pos_y,pos_z,distance
1742543560,2,8.947633272935576,5.771247889425109,0.6373085523869826,10.666471093059934
1742543560,2,8.947633272935576,5.771247889425109,0.6373085523869826,10.666471093059934
1742543560,2,8.947875741245127,5.778439670166008,0.6384408934144115,10.670635036252298
1742543560,2,8.956165181912473,5.757778099948435,0.6355367178674811,10.666246309442927
1742543564,2,8.911227680901687,5.88032536924939,0.6107106393125252,10.69397833895674
1742543566,2,8.906259478292876,5.803876057456535,0.6262811952514606,10.648880848264033
1742543566,2,8.912927358666181,5.835937775309555,0.6205920909302749,10.671624916640875
1742543570,2,8.805201012197061,5.578877396964291,0.5161636341073804,10.436563743528335
1742543570,2,9.009873803245641,5.507916326882287,0.5500114387566739,10.574378506423521
1742543570,2,9.0033603686499,5.496791395999619,0.552276572194942,10.563154026667721
1742543588,3,12.314996776898518,-0.2973011642189005,0.5550048177651699,12.331081215571055
1742543589,3,12.318731499914632,-0.29953920886929564,0.5556022905631156,12.334892111806978
1742543589,3,12.343384209854626,-0.306463836187185,0.5554565251961538,12.359675796167231
1742543590,3,12.348495466278962,-0.320491141595757,0.5468410376354989,12.364751917163389
1742543590,3,12.3461446733874,-0.3199378671933286,0.5543781902177314,12.36272557783539
1742543592,3,12.356850747175407,-0.3218828200921069,0.5442024982843742,12.373016014576997
1742543592,3,12.298850528934615,-0.30421447442466865,0.5470795193189137,12.31477026907051
1742543592,3,12.298850528934615,-0.30421447442466865,0.5470795193189137,12.31477026907051
1742543592,3,12.300327784506443,-0.30291872799791486,0.5538359242182205,12.316515643355782
1742543592,3,12.2910724914707,-0.3021442421569629,0.5485327864335876,12.307015980791158
1742543593,3,12.28933889446041,-0.30719433753324044,0.547404089743571,12.30535940399052
1742543593,3,12.28933889446041,-0.30719433753324044,0.547404089743571,12.30535940399052
1742543593,3,12.28933889446041,-0.30719433753324044,0.547404089743571,12.30535940399052
1742543593,3,12.28933889446041,-0.30719433753324044,0.547404089743571,12.30535940399052
1742543593,3,12.29571837555251,-0.3062073252098332,0.5424232304244809,12.311485542281888
1742543593,3,12.29571837555251,-0.3062073252098332,0.5424232304244809,12.311485542281888
1742543593,3,12.289908116828359,-0.3044658907621123,0.5455731815062542,12.305778768330756
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543594,3,12.295778307942722,-0.3058086445480861,0.5446630625731128,12.311634374724042
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543595,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543596,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543596,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543596,3,12.295802366509106,-0.3059767443943666,0.5460495631866815,12.311723995030812
1742543596,3,12.293414030154885,-0.301875628279074,0.5461334106499558,12.30924120788873
1742543596,3,12.293414030154885,-0.301875628279074,0.5461334106499558,12.30924120788873
1742543596,3,12.275372776675768,-0.2982722540367797,0.5464690257800056,12.291150130887576
1742543596,3,12.29094386546065,-0.30223776844649075,0.5451820325672951,12.30674092606221
1742543596,3,12.279657709732149,-0.30149769248853664,0.5452059229076135,12.295452160255582
1742543596,3,12.279657709732149,-0.30149769248853664,0.5452059229076135,12.295452160255582
1742543596,3,12.279657709732149,-0.30149769248853664,0.5452059229076135,12.295452160255582
1742543597,3,12.288821414692105,-0.30625338026544013,0.5448609135229792,12.304706266717803
1742543597,3,12.287935905544765,-0.3031296056436954,0.5421123947470194,12.303623134066335
1742543597,3,12.288531566661968,-0.3032673994597197,0.5426143476620211,12.304243557029883
1742543597,3,12.288531566661968,-0.3032673994597197,0.5426143476620211,12.304243557029883
